2026-07-22T12:39:15.174089728Z [inf]  unpacking archive
2026-07-22T12:39:15.267257243Z [inf]  uploading snapshot
2026-07-22T12:39:15.397062424Z [inf]  [internal] load build definition from Dockerfile
2026-07-22T12:39:15.397103755Z [inf]  [internal] load build definition from Dockerfile
2026-07-22T12:39:15.397454162Z [inf]  [internal] load build definition from Dockerfile
2026-07-22T12:39:15.445052923Z [inf]  [internal] load build definition from Dockerfile
2026-07-22T12:39:15.456909794Z [inf]  [internal] load metadata for docker.io/library/node:20-slim
2026-07-22T12:39:15.600183275Z [inf]  [internal] load metadata for docker.io/library/node:20-slim
2026-07-22T12:39:15.600790026Z [inf]  [internal] load .dockerignore
2026-07-22T12:39:15.601073191Z [inf]  [internal] load .dockerignore
2026-07-22T12:39:15.601342125Z [inf]  [internal] load .dockerignore
2026-07-22T12:39:15.648356319Z [inf]  [internal] load .dockerignore
2026-07-22T12:39:15.664596641Z [inf]  [6/6] COPY . .
2026-07-22T12:39:15.664597472Z [inf]  [5/6] RUN npm install --omit=dev --registry https://registry.npmjs.org
2026-07-22T12:39:15.664598233Z [inf]  [4/6] COPY package.json ./
2026-07-22T12:39:15.664598633Z [inf]  [internal] load build context
2026-07-22T12:39:15.664599024Z [inf]  [3/6] WORKDIR /app
2026-07-22T12:39:15.664599425Z [inf]  [2/6] RUN apt-get update && apt-get install -y --no-install-recommends     chromium     fonts-liberation     fonts-noto     fonts-noto-cjk     fonts-noto-color-emoji     libasound2     libatk-bridge2.0-0     libatk1.0-0     libcups2     libdbus-1-3     libdrm2     libgbm1     libgtk-3-0     libnspr4     libnss3     libx11-xcb1     libxcomposite1     libxdamage1     libxfixes3     libxrandr2     libxss1     libxtst6     xdg-utils     && rm -rf /var/lib/apt/lists/*
2026-07-22T12:39:15.664599946Z [inf]  [1/6] FROM docker.io/library/node:20-slim@sha256:2cf067cfed83d5ea958367df9f966191a942351a2df77d6f0193e162b5febfc0
2026-07-22T12:39:15.664788879Z [inf]  [1/6] FROM docker.io/library/node:20-slim@sha256:2cf067cfed83d5ea958367df9f966191a942351a2df77d6f0193e162b5febfc0
2026-07-22T12:39:15.664789240Z [inf]  [internal] load build context
2026-07-22T12:39:15.665118765Z [inf]  [internal] load build context
2026-07-22T12:39:15.678337640Z [inf]  [1/6] FROM docker.io/library/node:20-slim@sha256:2cf067cfed83d5ea958367df9f966191a942351a2df77d6f0193e162b5febfc0
2026-07-22T12:39:15.798213433Z [inf]  [internal] load build context
2026-07-22T12:39:15.815070261Z [inf]  [2/6] RUN apt-get update && apt-get install -y --no-install-recommends     chromium     fonts-liberation     fonts-noto     fonts-noto-cjk     fonts-noto-color-emoji     libasound2     libatk-bridge2.0-0     libatk1.0-0     libcups2     libdbus-1-3     libdrm2     libgbm1     libgtk-3-0     libnspr4     libnss3     libx11-xcb1     libxcomposite1     libxdamage1     libxfixes3     libxrandr2     libxss1     libxtst6     xdg-utils     && rm -rf /var/lib/apt/lists/*
2026-07-22T12:39:15.815082770Z [inf]  [3/6] WORKDIR /app
2026-07-22T12:39:15.815083841Z [inf]  [4/6] COPY package.json ./
2026-07-22T12:39:15.815085043Z [inf]  [5/6] RUN npm install --omit=dev --registry https://registry.npmjs.org
2026-07-22T12:39:15.815090231Z [inf]  [6/6] COPY . .
2026-07-22T12:39:16.048859556Z [inf]  [6/6] COPY . .
2026-07-22T12:39:16.066071917Z [inf]  exporting to docker image format
2026-07-22T12:39:18.186505176Z [inf]  exporting to docker image format
2026-07-22T12:39:18.224398186Z [inf]  containerimage.descriptor: eyJtZWRpYVR5cGUiOiJhcHBsaWNhdGlvbi92bmQub2NpLmltYWdlLm1hbmlmZXN0LnYxK2pzb24iLCJkaWdlc3QiOiJzaGEyNTY6MDY4ZjlkYWMzNWNlMTEwM2YzODdlNmI5ZjkyNTVhNzIwNTQyZWJmNTk2ZjQ3NDQzYjJkNjMyYzNmMzg5MmI2MiIsInNpemUiOjIxOTcsImFubm90YXRpb25zIjp7Im9yZy5vcGVuY29udGFpbmVycy5pbWFnZS5jcmVhdGVkIjoiMjAyNi0wNy0yMlQxMjozOToxNloifSwicGxhdGZvcm0iOnsiYXJjaGl0ZWN0dXJlIjoiYW1kNjQiLCJvcyI6ImxpbnV4In19
2026-07-22T12:39:18.224402702Z [inf]  containerimage.config.digest: sha256:564196c05ce02bc71995cd4de568133eb1652f7c9209d0efe5e5161ef0b032c1
2026-07-22T12:39:18.224404926Z [inf]  containerimage.digest: sha256:068f9dac35ce1103f387e6b9f9255a720542ebf596f47443b2d632c3f3892b62
2026-07-22T12:39:27.186393403Z [inf]  image push
2026-07-22T12:39:31.102070657Z [inf]  scheduling build on Metal builder "builder-zteqqo"
